,Tata Open,Tata High,Tata Low,Tata Close,Tata Adj Close,Tata Volume
9/13/2022,3263.449951,3263.449951,3225,3229.350098,3157.062256,1972678
09-12-2022,3239.899902,3269.800049,3225,3242.949951,3170.35791,1785928
09-09-2022,3195,3233.5,3168.5,3217.649902,3145.624023,1561185
09-08-2022,3170,3183.5,3160.100098,3169.649902,3098.69873,1346113
09-07-2022,3102,3161.899902,3102,3149.600098,3079.097656,1291534
09-06-2022,3135.5,3140.850098,3106.350098,3127.050049,3057.052246,1936453
09-05-2022,3123.649902,3147.949951,3112.25,3133.399902,3063.26001,2147912
09-02-2022,3163,3163,3120.300049,3130.399902,3060.327393,2052900
09-01-2022,3190,3190,3121,3131.699951,3061.598145,3546935
8/30/2022,3155,3226.5,3142.100098,3211.149902,3139.269775,3431525
8/29/2022,3125,3142.699951,3081,3132.550049,3062.429199,2539173
8/26/2022,3234.300049,3257,3216.800049,3222.199951,3150.072266,1457962
8/25/2022,3276,3278.149902,3214.75,3218.199951,3146.161865,1946930
8/24/2022,3292,3308,3250.199951,3255.350098,3182.480225,1691923
8/23/2022,3319.949951,3341.899902,3270,3284.600098,3211.075684,1849256
8/22/2022,3365,3384.100098,3347.399902,3354.550049,3279.459961,1536532
8/19/2022,3387,3421.5,3371.25,3385.75,3309.961426,1398410
8/18/2022,3390,3392,3362,3381.25,3305.562012,1430659
8/17/2022,3385.100098,3417.949951,3371.100098,3401.100098,3324.967773,1622326
8/16/2022,3411,3414.850098,3387.5,3392.699951,3316.755615,839942
08-12-2022,3419,3419,3381.25,3401.550049,3325.407715,1472354
08-11-2022,3400,3428.699951,3375.050049,3422.5,3345.888672,1449248
08-10-2022,3385,3385,3335,3354.25,3279.166504,1878359
08-08-2022,3365,3378.899902,3336,3374.449951,3298.914307,1068836
08-05-2022,3361.199951,3377,3355,3365.050049,3289.724854,1106933
08-04-2022,3350,3387.899902,3307.350098,3354.949951,3279.850586,2150567
08-03-2022,3280,3349,3277.050049,3339.5,3264.746826,2895824
08-02-2022,3290,3312.899902,3271.649902,3291.800049,3218.114502,1269114
08-01-2022,3327,3327,3271,3298.800049,3224.957764,1306913
7/29/2022,3290,3317.300049,3275,3301.899902,3227.988281,2430257
7/28/2022,3216,3264,3201.649902,3260.5,3187.515137,2106333
7/27/2022,3115,3194.100098,3110,3188.850098,3117.468994,1389808
